2014/01/18,BA,55,45,57,75,34
2014/01/21,BA,75,68,4,10,88
2014/01/23,BA,58,7,47,32,2
2014/01/25,BA,76,66,14,68,63
2014/01/28,BA,74,25,10,76,12
2014/01/30,BA,84,66,88,27,17
2014/02/01,BA,87,27,5,84,18
2014/02/04,BA,12,42,90,32,58
2014/02/06,BA,89,68,56,3,53
2014/02/08,BA,38,83,84,46,57
2014/02/11,BA,90,1,68,59,15
2014/02/13,BA,40,47,62,74,48
2014/02/15,BA,65,3,13,38,66
2014/02/18,BA,49,62,7,60,61
2014/02/20,BA,78,18,23,60,4
2014/02/22,BA,45,32,37,34,62
2014/02/25,BA,3,26,47,86,77
2014/02/27,BA,68,65,40,43,14
2014/03/01,BA,36,78,39,21,79
2014/03/04,BA,75,10,22,62,67
2014/03/06,BA,11,57,62,42,52
2014/03/08,BA,10,55,88,90,16
2014/03/11,BA,40,20,72,30,19
2014/03/13,BA,69,7,8,4,75
2014/03/15,BA,78,55,24,37,27
2014/03/18,BA,46,4,27,34,62
2014/03/20,BA,12,2,76,86,9
2014/03/22,BA,81,89,39,31,35
2014/03/25,BA,3,20,10,27,13
2014/03/27,BA,39,45,58,79,31
2014/03/29,BA,23,2,34,65,12
2014/04/01,BA,80,1,8,59,89
2014/04/03,BA,16,27,22,58,35
2014/04/05,BA,53,57,70,74,55
2014/04/08,BA,51,21,68,46,81
2014/04/10,BA,46,76,80,17,78
2014/04/12,BA,48,69,70,71,23
2014/04/15,BA,52,53,40,15,83
2014/04/17,BA,21,74,23,68,22
2014/04/19,BA,63,61,82,20,52
2014/04/22,BA,43,78,81,3,90
2014/04/24,BA,7,43,66,23,77
2014/04/26,BA,51,24,89,3,86
2014/04/29,BA,89,65,72,43,22
2014/05/02,BA,6,22,65,77,51
2014/05/03,BA,33,77,83,30,56
2014/05/06,BA,81,43,31,90,56
2014/05/08,BA,59,82,33,90,44
2014/05/10,BA,15,78,82,87,81
2014/05/13,BA,57,60,34,90,70
2014/05/15,BA,54,33,25,10,6
2014/05/17,BA,51,3,8,68,77
2014/05/20,BA,54,44,33,59,86
2014/05/22,BA,41,60,12,5,16
2014/05/24,BA,75,1,12,34,83
2014/05/27,BA,23,21,27,64,45
2014/05/29,BA,82,52,65,4,75
2014/05/31,BA,28,15,61,18,29
2014/06/03,BA,37,29,28,76,72
2014/06/05,BA,20,48,81,23,14
2014/06/07,BA,9,48,41,26,46
2014/06/10,BA,50,21,19,2,54
2014/06/12,BA,2,29,51,41,45
2014/06/14,BA,43,42,59,45,73
2014/06/17,BA,84,52,40,64,61
2014/06/19,BA,47,42,56,45,54
2014/06/21,BA,24,84,28,79,73
2014/06/24,BA,75,65,2,12,77
2014/06/26,BA,74,26,63,56,23
2014/06/28,BA,45,65,78,13,69
2014/07/01,BA,86,35,29,70,22
2014/07/03,BA,38,33,52,26,60
2014/07/05,BA,31,15,41,11,48
2014/07/08,BA,33,47,59,28,46
2014/07/10,BA,4,24,75,25,18
2014/07/12,BA,75,55,73,21,37
2014/07/15,BA,79,44,15,82,39
2014/07/17,BA,83,36,77,59,65
2014/07/19,BA,49,45,9,16,62
2014/07/22,BA,38,26,80,50,87
2014/07/24,BA,82,10,13,3,57
2014/07/26,BA,83,50,37,41,11
2014/07/29,BA,1,34,19,82,66
2014/07/31,BA,75,39,11,74,89
2014/08/02,BA,37,40,29,27,81
2014/08/05,BA,50,42,54,38,73
2014/08/07,BA,19,67,85,40,44
2014/08/09,BA,15,81,8,29,64
2014/08/12,BA,21,16,72,2,44
2014/08/14,BA,58,20,22,76,11
2014/08/16,BA,15,77,31,4,73
2014/08/19,BA,70,69,83,47,32
2014/08/21,BA,53,61,7,62,83
2014/08/23,BA,52,43,16,38,24
2014/08/26,BA,82,15,56,48,47
2014/08/28,BA,26,59,76,51,19
2014/08/30,BA,25,23,50,68,70
2014/09/02,BA,72,81,35,85,71
2014/09/04,BA,56,59,10,69,61
2014/09/06,BA,73,7,36,35,22
2014/09/09,BA,29,86,21,28,5
2014/09/11,BA,88,48,69,32,58
2014/09/13,BA,26,34,5,40,8
2014/09/16,BA,76,28,13,81,48
2014/09/18,BA,1,17,67,68,61
2014/09/20,BA,62,71,25,78,59
2014/09/23,BA,24,26,54,17,69
2014/09/25,BA,22,77,12,78,55
2014/09/27,BA,85,33,76,21,10
2014/09/30,BA,27,84,70,67,38
2014/10/02,BA,33,83,37,65,9
2014/10/04,BA,53,75,11,64,39
2014/10/07,BA,18,87,45,15,79
2014/10/09,BA,48,42,16,19,59
2014/10/11,BA,79,32,52,60,87
2014/10/14,BA,41,13,64,47,73
2014/10/16,BA,22,67,63,1,73
2014/10/18,BA,63,67,48,39,14
2014/10/21,BA,66,5,30,82,74
2014/10/23,BA,75,73,9,4,28
2014/10/25,BA,16,10,52,12,26
2014/10/28,BA,62,16,58,64,43
2014/10/30,BA,30,47,48,35,1
2014/11/03,BA,2,38,10,8,81
2014/11/04,BA,5,2,49,35,39
2014/11/06,BA,30,76,68,60,40
2014/11/08,BA,34,52,36,83,5
2014/11/11,BA,37,88,10,39,23
2014/11/13,BA,89,40,12,69,79
2014/11/15,BA,57,22,38,18,80
2014/11/18,BA,35,58,89,10,71
2014/11/20,BA,85,84,65,30,6
2014/11/22,BA,21,66,58,26,45
2014/11/25,BA,26,22,89,41,90
2014/11/27,BA,40,67,3,10,69
2014/11/29,BA,19,22,50,39,61
2014/12/02,BA,12,90,34,53,52
2014/12/04,BA,81,4,60,71,33
2014/12/06,BA,28,78,16,67,66
2014/12/09,BA,72,27,62,60,51
2014/12/11,BA,51,75,58,54,36
2014/12/13,BA,73,56,81,34,88
2014/12/16,BA,81,27,60,13,43
2014/12/18,BA,29,82,20,4,65
2014/12/20,BA,55,79,51,12,86
2014/12/23,BA,59,18,39,68,55
2014/12/24,BA,14,5,66,4,62
2014/12/27,BA,41,30,56,9,6
2014/12/30,BA,28,56,21,85,67
2015/01/02,BA,40,62,59,47,3
2015/01/03,BA,43,61,18,30,84
2015/01/07,BA,67,20,16,58,48
2015/01/08,BA,44,65,5,70,52
2015/01/10,BA,6,77,86,63,10
2015/01/13,BA,74,89,45,60,15
2015/01/15,BA,23,65,32,57,29
2015/01/17,BA,80,48,51,4,65
2015/01/20,BA,50,24,56,48,20
2015/01/22,BA,71,28,11,79,38
