Ambi,uscite,Spia10,rip10,tra10,Spia20,rip20,tra20
"[3, 82]",21,74,21,7,45,34,-13
"[3, 83]",10,84,11,6,77,19,3
"[3, 84]",22,44,22,-24,44,42,-14
"[3, 85]",16,2,17,-41,2,27,-31
"[3, 86]",19,51,19,-9,74,34,17
"[3, 87]",26,12,22,-37,12,45,-27
"[3, 88]",14,61,14,3,9,24,-10
"[3, 89]",18,65,19,-26,20,32,14
"[3, 90]",20,78,21,-5,1,31,-29
"[4, 5]",28,60,28,-4,88,48,-6
"[4, 6]",18,66,17,-3,66,30,7
"[4, 7]",11,84,13,6,68,22,-21
"[4, 8]",20,6,19,-16,27,31,-46
"[4, 9]",21,86,24,-14,9,35,-10
"[4, 10]",15,20,15,4,20,30,14
"[4, 11]",19,73,19,-13,50,32,6
"[4, 12]",16,62,19,-23,66,27,7
"[4, 13]",25,54,25,-6,62,44,-13
"[4, 14]",23,3,22,5,34,39,0
"[4, 15]",23,84,22,6,88,37,-6
"[4, 16]",27,39,24,8,34,46,0
"[4, 17]",19,81,22,5,30,36,2
"[4, 18]",19,88,19,-16,34,32,0
"[4, 19]",15,59,16,-4,36,27,15
"[4, 20]",22,59,18,-4,22,35,12
"[4, 21]",14,15,16,-6,37,24,8
"[4, 22]",18,20,20,4,34,33,0
"[4, 23]",14,88,15,-16,24,25,-6
"[4, 24]",14,52,17,-12,54,25,4
"[4, 25]",22,84,22,6,52,34,-2
"[4, 26]",23,4,23,4,4,44,14
"[4, 27]",21,62,20,-23,8,34,11
"[4, 28]",15,77,16,-7,11,28,13
"[4, 29]",16,58,15,9,88,26,-6
"[4, 30]",28,60,25,-4,60,49,6
"[4, 31]",15,19,15,1,89,27,14
"[4, 32]",16,27,17,-56,78,28,5
"[4, 33]",25,86,22,-14,48,39,6
"[4, 34]",23,62,22,-23,48,39,6
"[4, 35]",17,59,18,-4,59,30,6
"[4, 36]",18,10,17,-1,10,33,9
"[4, 37]",20,88,18,-16,59,34,6
"[4, 38]",16,30,15,-8,30,32,2
"[4, 39]",17,30,21,-8,30,36,2
"[4, 40]",19,48,23,-4,48,43,6
"[4, 41]",15,85,17,6,51,28,1
"[4, 42]",19,81,22,5,81,31,15
"[4, 43]",18,34,19,-10,59,32,6
"[4, 44]",20,48,16,-4,31,33,18
"[4, 45]",12,64,13,-21,9,21,-10
"[4, 46]",12,9,14,-20,88,26,-6
"[4, 47]",18,81,18,5,15,31,4
"[4, 48]",20,15,21,-6,15,40,4
"[4, 49]",14,15,18,-6,15,28,4
"[4, 50]",10,65,12,-26,51,18,1
"[4, 51]",26,86,24,-14,60,45,6
"[4, 52]",11,54,12,-6,81,23,15
"[4, 53]",20,49,19,-11,49,32,-1
"[4, 54]",14,44,17,-24,20,31,14
"[4, 55]",28,4,27,4,54,50,4
"[4, 56]",16,84,19,6,78,30,5
"[4, 57]",9,56,13,-11,7,20,17
"[4, 58]",8,53,12,-10,26,18,5
"[4, 59]",23,53,20,-10,74,37,17
"[4, 60]",18,40,17,1,74,31,17
"[4, 61]",23,53,21,-10,66,39,7
"[4, 62]",20,62,20,-23,84,36,16
"[4, 63]",17,34,20,-10,36,33,15
"[4, 64]",18,11,17,3,26,34,5
"[4, 65]",16,15,16,-6,46,34,12
"[4, 66]",15,63,18,-13,34,29,0
"[4, 67]",19,11,20,3,18,32,10
"[4, 68]",22,34,22,-10,44,40,-14
"[4, 69]",16,40,16,1,66,27,7
"[4, 70]",15,20,16,4,26,30,5
"[4, 71]",15,6,16,-16,61,29,13
"[4, 72]",19,2,18,-41,62,34,-13
"[4, 73]",19,65,17,-26,52,31,-2
"[4, 74]",18,83,19,6,21,30,-23
"[4, 75]",31,34,26,-10,62,48,-13
"[4, 76]",16,36,17,5,31,32,18
"[4, 77]",12,50,16,-4,62,22,-13
"[4, 78]",14,49,14,-11,47,28,18
"[4, 79]",16,20,18,4,20,30,14
"[4, 80]",15,84,17,6,56,30,-1
"[4, 81]",23,36,21,5,47,40,18
"[4, 82]",21,13,21,8,75,35,19
"[4, 83]",20,20,19,4,20,34,14
"[4, 84]",28,83,23,6,2,45,-31
"[4, 85]",15,81,19,5,48,30,6
"[4, 86]",21,15,21,-6,88,36,-6
"[4, 87]",36,60,33,-4,60,59,6
"[4, 88]",20,37,21,-2,62,34,-13
"[4, 89]",20,37,20,-2,35,33,6
"[4, 90]",15,62,17,-23,63,28,-3
"[5, 6]",9,1,10,-39,48,18,6
"[5, 7]",12,78,12,-5,74,22,17
"[5, 8]",16,56,15,-11,27,26,-46
"[5, 9]",18,17,18,-17,81,34,15
"[5, 10]",11,57,12,-3,6,21,-6
"[5, 11]",19,60,18,-4,60,35,6
"[5, 12]",14,37,16,-2,46,28,12
"[5, 13]",13,41,16,-19,41,23,-9
"[5, 14]",21,81,23,5,10,35,9
"[5, 15]",24,85,25,6,85,43,16
"[5, 16]",21,89,20,4,89,35,14
"[5, 17]",19,51,19,-9,48,37,6
"[5, 18]",21,77,21,-7,4,38,14
"[5, 19]",15,87,17,-41,46,28,12
"[5, 20]",19,20,20,4,90,30,3
"[5, 21]",20,76,19,-11,23,34,10
"[5, 22]",15,38,15,2,87,27,-31
"[5, 23]",18,85,19,6,61,37,13
"[5, 24]",11,30,13,-8,62,20,-13
"[5, 25]",17,89,16,4,5,29,-52
"[5, 26]",22,9,22,-20,58,37,19
"[5, 27]",19,3,20,5,3,36,15
"[5, 28]",20,47,21,8,47,38,18
"[5, 29]",13,37,14,-2,37,28,8
"[5, 30]",24,60,23,-4,60,40,6
"[5, 31]",12,29,15,-2,28,21,0
"[5, 32]",16,87,17,-41,89,29,14
"[5, 33]",11,7,15,7,7,21,17
"[5, 34]",27,38,27,2,74,45,17
"[5, 35]",20,12,18,-37,26,34,5
"[5, 36]",16,81,17,5,76,28,-1
"[5, 37]",21,81,21,5,54,33,4
"[5, 38]",15,33,14,6,53,26,0
"[5, 39]",21,48,20,-4,74,35,17
"[5, 40]",21,34,20,-10,61,37,13
"[5, 41]",19,17,20,-17,59,32,6
"[5, 42]",17,3,18,5,3,28,15
"[5, 43]",18,48,17,-4,87,31,-31
"[5, 44]",16,4,18,4,58,27,19
"[5, 45]",12,83,13,6,37,23,8
"[5, 46]",17,88,18,-16,88,34,-6
"[5, 47]",17,24,15,-16,50,32,6
"[5, 48]",16,57,16,-3,74,30,17
"[5, 49]",22,20,21,4,20,35,14
"[5, 50]",21,39,20,8,62,38,-13
"[5, 51]",22,85,22,6,37,36,8
"[5, 52]",16,47,18,8,62,30,-13
"[5, 53]",16,56,17,-11,46,29,12
"[5, 54]",14,62,17,-23,84,25,16
"[5, 55]",11,1,12,-39,1,21,-29
"[5, 56]",15,22,15,2,47,25,18
"[5, 57]",14,71,14,6,5,25,-52
"[5, 58]",10,81,10,5,41,18,-9
"[5, 59]",29,89,27,4,19,44,11
"[5, 60]",18,73,20,-13,20,33,14
"[5, 61]",17,17,18,-17,28,30,0
"[5, 62]",19,29,20,-2,46,30,12
